prvPublishRSReport,Add Reporting Services Reports
prvBulkDelete,Bulk Delete
prvDeleteAuditPartitions,Delete Audit Partitions
prvRestoreSqlEncryptionKey,Manage Data Encryption key - Activate
prvChangeSqlEncryptionKey,Manage Data Encryption key - Change
prvReadSqlEncryptionKey,Manage Data Encryption key - Read
prvAdminFilter,Manage User Synchronization Filters
prvPublishDuplicateRule,Publish Duplicate Detection Rules
prvCreateOrgEmailTemplates,Publish Email Templates
prvPublishOrgMailMergeTemplate,Publish Mail Merge Templates to Organization
prvPublishOrgReport,Publish Reports
prvDeleteRecordChangeHistory,Delete Audit Record Change History
prvOneDrive,OneDrive for Business
prvConfigureSharePoint,Run SharePoint Integration Wizard
prvReadRecordAuditHistory,View Audit History
prvReadAuditPartitions,View Audit Partitions
prvReadAuditSummary,View Audit Summary
prvConfigureInternetMarketing,Configure Internet Marketing module
prvAllowQuickCampaign,Create Quick Campaign
prvUseInternetMarketing,Use internet marketing module
prvOverridePriceEngineInvoice,Override Invoice Pricing
prvOverridePriceEngineOpportunity,Override Opportunity Pricing
prvOverridePriceEngineOrder,Override Order Pricing
prvQOIOverrideDelete,Override Quote Order Invoice Delete
prvOverridePriceEngineQuote,Override Quote Pricing
prvExportToExcel,Export to Excel
prvGoOffline,Go Offline in Outlook
prvMailMerge,Mail Merge
prvPrint,Print
prvSyncToOutlook,Sync to Outlook
prvActOnBehalfOfAnotherUser,Act on Behalf of Another User
prvApproveRejectEmailAddress,Approve Email Addresses for Users or Queues
prvAssignManager,Assign manager for a user
prvAssignTerritory,Assign Territory to User
prvBulkEdit,Bulk Edit
prvAddressBook,Dynamics 365 Address Book
prvDisableBusinessUnit,Enable or Disable Business Unit
prvDisableUser,Enable or Disable User
prvLanguageSettings,Language Settings
prvMerge,Merge
prvOverrideCreatedOnCreatedBy,Override Created on or Created by for Records during Data Import
prvRollupGoal,Perform in sync rollups on goals
prvReadLicense,Read License info
prvReparentBusinessUnit,Reparent Business unit
prvReparentTeam,Reparent team
prvReparentUser,Reparent user
prvSendAsUser,Send Email as Another User
prvSendInviteForLive,Send Invitation
prvWriteBusinessClosureCalendar,Update Business Closures
prvWebMailMerge,Web Mail Merge
prvBrowseAvailability,Browse Availability
prvCreateOwnCalendar,Create own calendar
prvDeleteOwnCalendar,Delete own calendar
prvReadOwnCalendar,Read own calendar
prvSearchAvailability,Search Availability
prvWriteHolidayScheduleCalendar,Update Holiday Schedules
prvWriteOwnCalendar,Write own calendar
prvActivateBusinessProcessFlow,Activate Business Process Flows
prvActivateBusinessRule,Activate Business Rules
prvActivateSynchronousWorkflow,Activate Real-time Processes
prvConfigureYammer,Configure Yammer
prvWorkflowExecution,Execute Workflow Job
prvExportCustomization,Export Customizations
prvImportCustomization,Import Customizations
prvISVExtensions,ISV Extensions
prvAppendConstraint,Modify Customization constraints
prvPublishCustomization,Publish Customizations
prvRetrieveMultipleSocialInsights,Retrieve Multiple Social Insights
prvPublishArticle,Publish Articles
prvPromoteToAdmin,Promote User to Microsoft Dynamics CRM Administrator Role
prvTurnDevErrorsOnOff,Turn On Tracing
prvAssignPosition,Assign position for a user
prvWriteHierarchicalSecurityConfiguration,Change Hierarchy Security Settings
prvControlDecrementTerm,Control Decrement Terms
prvApproveKnowledgeArticle,Approve Knowledge Articles
prvPublishKnowledgeArticle,Publish Knowledge Articles
prvDocumentGeneration,Document Generation
prvUseTabletApp,Dynamics 365 for phones express
prvGoMobile,Dynamics 365 for mobile
prvUseOfficeApps,Use Dynamics 365 App for Outlook
Customization,Customizations
Attribute,Field
Entity,Entity
EntityKey,Entity Key
OptionSet,Option Set
WorkflowSession,Process Session
Relationship,Relationship
prvLearningPath,Learning Path Authoring
Activity,Activity
NewsArticle,Announcement
UserQueryVisualizations,User Chart
